# Time(s) Distance(km)
0.000000000000000000e+00 6.000000000000000000e+08
1.800102675260966180e+03 6.000347711788696051e+08
3.600205350521932360e+03 6.000695380544160604e+08
5.400308025782898767e+03 6.001043006198853254e+08
7.200410701043864719e+03 6.001390588685235977e+08
9.000513376304830672e+03 6.001738127935782671e+08
1.080061605156579753e+04 6.002085623882980347e+08
1.260071872682676258e+04 6.002433076459314823e+08
1.440082140208772944e+04 6.002780485597295761e+08
1.620092407734869630e+04 6.003127851229431629e+08
1.800102675260966134e+04 6.003475173288244009e+08
1.980112942787062639e+04 6.003822451706264019e+08
2.160123210313159507e+04 6.004169686416029930e+08
2.340133477839256011e+04 6.004516877350093126e+08
2.520143745365352515e+04 6.004864024441012144e+08
2.700154012891449383e+04 6.005211127621352673e+08
2.880164280417545888e+04 6.005558186823693514e+08
3.060174547943642392e+04 6.005905201980621815e+08
3.240184815469739260e+04 6.006252173024731874e+08
3.420195082995835401e+04 6.006599099888629913e+08
3.600205350521932269e+04 6.006945982504925728e+08
3.780215618048029137e+04 6.007292820806248188e+08
3.960225885574125277e+04 6.007639614725224972e+08
4.140236153100222145e+04 6.007986364194499254e+08
4.320246420626319014e+04 6.008333069146720171e+08
4.500256688152415154e+04 6.008679729514548779e+08
4.680266955678512022e+04 6.009026345230650902e+08
4.860277223204608890e+04 6.009372916227705479e+08
5.040287490730705031e+04 6.009719442438396215e+08
5.220297758256801899e+04 6.010065923795421124e+08
5.400308025782898767e+04 6.010412360231481791e+08
5.580318293308994907e+04 6.010758751679290533e+08
5.760328560835091776e+04 6.011105098071569204e+08
5.940338828361188644e+04 6.011451399341049194e+08
6.120349095887284784e+04 6.011797655420467854e+08
6.300359363413381652e+04 6.012143866242570877e+08
6.480369630939478520e+04 6.012490031740114689e+08
6.660379898465574661e+04 6.012836151845865250e+08
6.840390165991670801e+04 6.013182226492594481e+08
7.020400433517768397e+04 6.013528255613083839e+08
7.200410701043864537e+04 6.013874239140121937e+08
7.380420968569960678e+04 6.014220177006509304e+08
7.560431236096058274e+04 6.014566069145051241e+08
7.740441503622154414e+04 6.014911915488562584e+08
7.920451771148250555e+04 6.015257715969862938e+08
8.100462038674348150e+04 6.015603470521787405e+08
8.280472306200444291e+04 6.015949179077173471e+08
8.460482573726540431e+04 6.016294841568868160e+08
8.640492841252638027e+04 6.016640457929726839e+08
8.820503108778734168e+04 6.016986028092614412e+08
9.000513376304830308e+04 6.017331551990398169e+08
9.180523643830927904e+04 6.017677029555960894e+08
9.360533911357024044e+04 6.018022460722187757e+08
9.540544178883120185e+04 6.018367845421973467e+08
9.720554446409217780e+04 6.018713183588218689e+08
9.900564713935313921e+04 6.019058475153833628e+08
1.008057498146141006e+05 6.019403720051734447e+08
1.026058524898750766e+05 6.019748918214851618e+08
1.044059551651360380e+05 6.020094069576108456e+08
1.062060578403969994e+05 6.020439174068449736e+08
1.080061605156579753e+05 6.020784231624821424e+08
1.098062631909189367e+05 6.021129242178175449e+08
1.116063658661798981e+05 6.021474205661474466e+08
1.134064685414408741e+05 6.021819122007687092e+08
1.152065712167018355e+05 6.022163991149789095e+08
1.170066738919627969e+05 6.022508813020758629e+08
1.188067765672237729e+05 6.022853587553588152e+08
1.206068792424847343e+05 6.023198314681272507e+08
1.224069819177456957e+05 6.023542994336811304e+08
1.242070845930066716e+05 6.023887626453218460e+08
1.260071872682676330e+05 6.024232210963505507e+08
1.278072899435285944e+05 6.024576747800695896e+08
1.296073926187895704e+05 6.024921236897817850e+08
1.314074952940505173e+05 6.025265678187905550e+08
1.332075979693114932e+05 6.025610071603999138e+08
1.350077006445724692e+05 6.025954417079145908e+08
1.368078033198334160e+05 6.026298714546400309e+08
1.386079059950943920e+05 6.026642963938820362e+08
1.404080086703553679e+05 6.026987165189471245e+08
1.422081113456163148e+05 6.027331318231422901e+08
1.440082140208772907e+05 6.027675422997751236e+08
1.458083166961382667e+05 6.028019479421538115e+08
1.476084193713992136e+05 6.028363487435870171e+08
1.494085220466601895e+05 6.028707446973843575e+08
1.512086247219211655e+05 6.029051357968554497e+08
1.530087273971821123e+05 6.029395220353103876e+08
1.548088300724430883e+05 6.029739034060602188e+08
1.566089327477040642e+05 6.030082799024164677e+08
1.584090354229650111e+05 6.030426515176903009e+08
1.602091380982259871e+05 6.030770182451947927e+08
1.620092407734869630e+05 6.031113800782424212e+08
1.638093434487479099e+05 6.031457370101462603e+08
1.656094461240088858e+05 6.031800890342202187e+08
1.674095487992698618e+05 6.032144361437782049e+08
1.692096514745308086e+05 6.032487783321349621e+08
1.710097541497917846e+05 6.032831155926052332e+08
1.728098568250527605e+05 6.033174479185047150e+08
1.746099595003137074e+05 6.033517753031487465e+08
1.764100621755746834e+05 6.033860977398538589e+08
1.782101648508356593e+05 6.034204152219363451e+08
1.800102675260966062e+05 6.034547277427132130e+08
1.818103702013575821e+05 6.034890352955014706e+08
1.836104728766185581e+05 6.035233378736188412e+08
1.854105755518795049e+05 6.035576354703830481e+08
1.872106782271404809e+05 6.035919280791122913e+08
1.890107809024014568e+05 6.036262156931251287e+08
1.908108835776624037e+05 6.036604983057401180e+08
