Impact Probabilities and Periods of Close Approaches:

Overall Impact Probabilities (1/distance method):

Time: 2024-01-01 00:00:00, Probability: 1.666667E-09
Time: 2024-01-01 00:30:00.102675, Probability: 1.666570E-09
Time: 2024-01-01 01:00:00.205351, Probability: 1.666474E-09
Time: 2024-01-01 01:30:00.308026, Probability: 1.666377E-09
Time: 2024-01-01 02:00:00.410701, Probability: 1.666280E-09
Time: 2024-01-01 02:30:00.513376, Probability: 1.666184E-09
Time: 2024-01-01 03:00:00.616052, Probability: 1.666088E-09
Time: 2024-01-01 03:30:00.718727, Probability: 1.665991E-09
Time: 2024-01-01 04:00:00.821402, Probability: 1.665895E-09
Time: 2024-01-01 04:30:00.924077, Probability: 1.665798E-09
Time: 2024-01-01 05:00:01.026753, Probability: 1.665702E-09
Time: 2024-01-01 05:30:01.129428, Probability: 1.665606E-09
Time: 2024-01-01 06:00:01.232103, Probability: 1.665509E-09
Time: 2024-01-01 06:30:01.334778, Probability: 1.665413E-09
Time: 2024-01-01 07:00:01.437454, Probability: 1.665317E-09
Time: 2024-01-01 07:30:01.540129, Probability: 1.665220E-09
Time: 2024-01-01 08:00:01.642804, Probability: 1.665124E-09
Time: 2024-01-01 08:30:01.745479, Probability: 1.665028E-09
Time: 2024-01-01 09:00:01.848155, Probability: 1.664932E-09
Time: 2024-01-01 09:30:01.950830, Probability: 1.664836E-09
Time: 2024-01-01 10:00:02.053505, Probability: 1.664739E-09
Time: 2024-01-01 10:30:02.156180, Probability: 1.664643E-09
Time: 2024-01-01 11:00:02.258856, Probability: 1.664547E-09
Time: 2024-01-01 11:30:02.361531, Probability: 1.664451E-09
Time: 2024-01-01 12:00:02.464206, Probability: 1.664355E-09
Time: 2024-01-01 12:30:02.566882, Probability: 1.664259E-09
Time: 2024-01-01 13:00:02.669557, Probability: 1.664163E-09
Time: 2024-01-01 13:30:02.772232, Probability: 1.664067E-09
Time: 2024-01-01 14:00:02.874907, Probability: 1.663971E-09
Time: 2024-01-01 14:30:02.977583, Probability: 1.663875E-09
Time: 2024-01-01 15:00:03.080258, Probability: 1.663779E-09
Time: 2024-01-01 15:30:03.182933, Probability: 1.663683E-09
Time: 2024-01-01 16:00:03.285608, Probability: 1.663588E-09
Time: 2024-01-01 16:30:03.388284, Probability: 1.663492E-09
Time: 2024-01-01 17:00:03.490959, Probability: 1.663396E-09
